month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202203,new york,ny,689500,0.0268,0.1121,39463,0.0428,-0.0635,57,-0.3049,-0.2919,19344,0.273,0.0929,1308,0.1637,0.2111,5760,0.0852,-0.0164,27676,0.0206,0.131,484,0.0412,0.2696,1484,0.0013,-0.0675,1757975,0.0089,0.2477,67140,0.0334,0.0052,0.7013,-0.0153,0.1206,0
202203,district of columbia,dc,557450,0.0136,0.0136,1465,0.0812,-0.0168,35,-0.0548,-0.1154,1260,0.2257,0.0227,28,0,0.1667,404,0.2785,0.1477,1186,0.0675,-0.0326,565,-0.0024,-0.0535,1044,-0.001,0.0545,946968,0.0163,0.0135,2651,0.0755,-0.0239,0.8096,-0.0104,-0.0133,0
202203,vermont,vt,388750,0.0203,0.1695,769,0.0308,-0.4333,52,-0.3376,-0.4611,624,0.2283,-0.1522,20,0.25,-0.6154,92,0.0455,-0.439,593,0.0514,-0.4248,210,0.0314,0.177,1955,-0.0249,-0.0154,643103,0.0457,0.1714,1365,0.0372,-0.4284,0.7711,0.0151,0.0114,0
202203,nevada,nv,487495,0.0168,0.3176,4684,0.0134,-0.1179,27,-0.0862,-0.1587,4396,0.1226,0.0101,500,0.2626,0.0684,928,0.234,0.2083,1668,0.059,0.0537,262,0.0247,0.2682,1905,0.0037,0.0824,857325,0.013,0.2384,6352,0.0224,-0.0785,0.3561,0.0153,0.058,1
202203,mississippi,ms,244500,0.023,0.1119,3372,0.029,-0.2328,52,-0.2746,-0.3481,2828,0.1533,0.144,200,0.3514,-0.1071,792,0.1512,0.0154,4359,0.0182,0.1186,116,0.0351,0.0918,2006,-0.0032,-0.0069,339972,0.0118,0.1275,7761,0.0269,-0.0636,1.2927,-0.0137,0.406,0
202203,virginia,va,392500,0.0283,0.0964,8667,0.0386,-0.277,30,-0.2208,-0.2308,12444,0.1979,-0.1169,1044,-0.1092,-0.4447,1608,0.1519,-0.2731,14285,0.123,-0.1234,199,0.0168,0.1171,1929,0.0118,-0.0103,588649,0.0043,0.0474,22952,0.0896,-0.1885,1.6482,0.1239,0.2887,0
202203,new hampshire,nh,475000,-0.0042,0.1951,961,0.0526,-0.3001,23,-0.3382,-0.2857,1316,0.2802,-0.2053,80,0.1765,-0.3939,140,0.4,-0.2708,896,-0.0154,-0.3092,252,-0.0115,0.1833,1864,0.0027,0.0022,687507,0.0138,0.1738,1857,0.0198,-0.3053,0.9324,-0.0644,-0.0123,0
202203,utah,ut,645000,0.0211,0.1367,3013,0.1139,0.048,28,-0.125,0.0182,4852,0.1305,0.0159,924,0.5822,0.75,840,0.5672,0.5328,8031,0.0032,-0.0496,266,0.0244,0.141,2500,-0.0152,0.0202,1185090,-0.0512,-0.1089,11044,0.0312,-0.0234,2.6654,-0.2939,-0.2737,1
202203,tennessee,tn,371000,0.0167,0.1246,7200,0.0485,-0.0728,31,-0.1644,-0.1974,9860,0.1573,0.0485,612,-0.0065,-0.4416,2184,0.1328,0.3,12138,0.0055,-0.0751,201,0.0316,0.1967,1974,-0.0073,-0.0147,573452,0.0268,0.1558,19338,0.0211,-0.0742,1.6858,-0.0721,-0.0042,0
202203,connecticut,ct,499950,-0.0147,0.2691,3648,0.0133,-0.6147,37,-0.3917,-0.1098,4216,0.2699,-0.1527,164,-0.1087,-0.4459,604,0.2583,-0.3229,6775,0.0843,48.4526,258,0.0079,0.2909,1927,-0.0198,-0.0304,1381593,-0.0264,0.5578,10404,0.0565,0.0831,1.8572,0.1216,1.8427,0
